Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59641216,"Friends, Lovers, and the Big Terrible Thing",Matthew  Perry,"Perry, Matthew",Lisa Kudrow,"=""1250866448""","=""9781250866448""",2,3.94,Flatiron Books,Hardcover,250,2022,2022,2022/12/30,2022/12/30,audio,audio (#13),read,,,,1,0
61106887,Dumnezeu nu e mort,Cristian Tudor Popescu,"Popescu, Cristian Tudor",,"=""9734689975""","=""9789734689972""",4,4.28,Polirom,Paperback,208,2022,2022,2022/12/20,2022/12/17,owned,owned (#2),read,,,,1,0
62069753,Șapte povești care nu se termină bine pentru toată lumea,Cătălin Ceaușoglu,"Ceaușoglu, Cătălin",,"=""6064313307""","=""9786064313300""",3,3.91,Editura Nemira,Paperback,336,2022,,2022/12/16,2022/12/05,owned,owned (#20),read,,,,1,0
56269264,The Dawn of Everything: A New History of Humanity,David Graeber,"Graeber, David",David Wengrow,"=""0374157359""","=""9780374157357""",0,4.19,"Farrar, Straus and Giroux",Hardcover,692,2021,2021,,2022/11/26,to-read,to-read (#147),to-read,,,,0,0
50552934,The Last Interview: A Novel,Eshkol Nevo,"Nevo, Eshkol",Sondra Silverston,"=""1635429870""","=""9781635429879""",0,3.95,Other Press,Paperback,480,2020,2018,,2022/11/26,to-read,to-read (#146),to-read,,,,0,0
9957,The Cement Garden,Ian McEwan,"McEwan, Ian",,"=""0099468387""","=""9780099468387""",0,3.53,Vintage,Paperback,144,2004,1978,,2022/11/25,to-read,to-read (#145),to-read,,,,0,0
39943621,"Fire & Blood (A Targaryen History, #1)",George R.R. Martin,"Martin, George R.R.",Doug Wheatley,"=""152479628X""","=""9781524796280""",3,4.05,Random House Worlds,Hardcover,706,2018,2018,2022/10/23,2022/10/14,audio,audio (#14),read,,,,1,0
59112747,Exit Stage Left: The Curious Afterlife of Pop Stars,Nick Duerden,"Duerden, Nick",,"=""1472277775""","=""9781472277770""",0,3.76,Hachette Mobius,Hardcover,400,2022,,,2022/09/22,to-read,to-read (#144),to-read,,,,0,0
58691632,Bodies,Ian Winwood,"Winwood, Ian",,"=""0571364187""","=""9780571364183""",0,4.09,Faber & Faber,Paperback,320,2023,,,2022/08/30,to-read,to-read (#143),to-read,,,,0,0
795045,Individualization: Institutionalized Individualism and its Social and Political Consequences,Ulrich Beck,"Beck, Ulrich",Elisabeth Beck-Gernsheim,"=""0761961127""","=""9780761961123""",0,3.88,SAGE Publications Ltd,Paperback,222,2002,1997,,2022/08/29,to-read,to-read (#142),to-read,,,,0,0
